"2018-07-03T16:32:31.102864","emg","-1","0","0","-8","-4","-3","-3","-1","2018-07-03T16:32:31.102026"
"2018-07-03T16:32:31.103287","emg","-1","-1","-1","8","2","0","-3","0","2018-07-03T16:32:31.102410"
"2018-07-03T16:32:31.110815","acc","946","-1670","789","gyro","-16","-38","56","quat","10488","-3374","-8633","8515","2018-07-03T16:32:31.109882"
"2018-07-03T16:32:31.118366","emg","0","1","-1","-7","-9","1","3","-2","2018-07-03T16:32:31.117402"
"2018-07-03T16:32:31.118670","emg","-3","-2","-4","4","5","-8","-6","-1","2018-07-03T16:32:31.117885"
"2018-07-03T16:32:31.126103","emg","1","-1","0","3","2","-3","-1","0","2018-07-03T16:32:31.124989"
"2018-07-03T16:32:31.126462","emg","-1","0","2","-8","-7","2","-11","-4","2018-07-03T16:32:31.125586"
"2018-07-03T16:32:31.133719","acc","945","-1616","876","gyro","-42","-108","143","quat","10471","-3376","-8634","8535","2018-07-03T16:32:31.132881"
"2018-07-03T16:32:31.134762","emg","-4","-2","-4","-1","-2","-1","2","-1","2018-07-03T16:32:31.134013"
"2018-07-03T16:32:31.135104","emg","0","-2","-14","-11","0","2","-1","1","2018-07-03T16:32:31.134358"
"2018-07-03T16:32:31.148746","emg","1","-1","3","-2","-24","-19","-2","-2","2018-07-03T16:32:31.147586"
"2018-07-03T16:32:31.149110","emg","0","-1","0","-3","3","-10","-11","-3","2018-07-03T16:32:31.148163"
"2018-07-03T16:32:31.157095","acc","1048","-1798","871","gyro","-127","-147","193","quat","10438","-3390","-8651","8552","2018-07-03T16:32:31.155917"
"2018-07-03T16:32:31.158144","emg","2","3","9","12","14","21","16","2","2018-07-03T16:32:31.157331"
"2018-07-03T16:32:31.158494","emg","-2","-3","-9","4","-10","0","-20","-3","2018-07-03T16:32:31.157728"
"2018-07-03T16:32:31.163291","emg","0","-5","-21","-16","-16","-13","-2","-1","2018-07-03T16:32:31.162299"
"2018-07-03T16:32:31.163610","emg","-4","-7","-19","-42","7","8","6","-3","2018-07-03T16:32:31.162804"
"2018-07-03T16:32:31.170986","acc","1149","-2065","762","gyro","-201","-126","325","quat","10384","-3434","-8681","8570","2018-07-03T16:32:31.169905"
"2018-07-03T16:32:31.178684","emg","-4","-3","25","40","24","13","-17","-2","2018-07-03T16:32:31.177512"
"2018-07-03T16:32:31.179068","emg","-1","-2","-6","2","-30","-43","4","-1","2018-07-03T16:32:31.178048"
"2018-07-03T16:32:31.186013","emg","2","7","17","18","2","48","6","3","2018-07-03T16:32:31.184846"
"2018-07-03T16:32:31.186394","emg","4","7","-1","-2","63","17","3","1","2018-07-03T16:32:31.185374"
"2018-07-03T16:32:31.193929","acc","1250","-2194","618","gyro","-80","-30","573","quat","10314","-3499","-8694","8615","2018-07-03T16:32:31.192897"
