"2018-03-27T16:02:17.388089","emg","-2","0","0","-2","0","1","2","0","2018-03-27T16:02:17.387121"
"2018-03-27T16:02:17.388366","emg","-3","-2","-2","-1","-2","-2","1","0","2018-03-27T16:02:17.387625"
"2018-03-27T16:02:17.389359","acc","-339","-1271","-1769","gyro","-21","-6","3","quat","-4180","14543","5524","-2990","2018-03-27T16:02:17.388771"
"2018-03-27T16:02:17.395044","emg","-1","0","-2","-1","1","3","-4","-1","2018-03-27T16:02:17.394108"
"2018-03-27T16:02:17.395328","emg","-4","0","-2","-2","-2","-4","-5","-2","2018-03-27T16:02:17.394586"
"2018-03-27T16:02:17.410836","emg","-1","0","-2","-1","-2","-2","1","-2","2018-03-27T16:02:17.409817"
"2018-03-27T16:02:17.411151","emg","1","-2","1","0","-1","-1","1","0","2018-03-27T16:02:17.410389"
"2018-03-27T16:02:17.412291","acc","-344","-1261","-1772","gyro","-6","-8","-2","quat","-4180","14543","5524","-2990","2018-03-27T16:02:17.411623"
"2018-03-27T16:02:17.416866","emg","1","0","-1","0","-2","-3","-1","-2","2018-03-27T16:02:17.416108"
"2018-03-27T16:02:17.417134","emg","-1","0","-2","0","0","8","5","0","2018-03-27T16:02:17.416482"
"2018-03-27T16:02:17.425803","emg","-1","-2","-2","-3","0","0","3","5","2018-03-27T16:02:17.424681"
"2018-03-27T16:02:17.426234","emg","-1","0","-1","-1","-3","-4","0","-1","2018-03-27T16:02:17.425217"
"2018-03-27T16:02:17.427412","acc","-343","-1264","-1758","gyro","4","-11","-7","quat","-4180","14543","5524","-2990","2018-03-27T16:02:17.426755"
"2018-03-27T16:02:17.439875","emg","-1","-3","-2","-2","-1","3","2","-2","2018-03-27T16:02:17.438898"
"2018-03-27T16:02:17.440193","emg","0","-3","0","0","-3","-8","-6","-1","2018-03-27T16:02:17.439410"
"2018-03-27T16:02:17.448025","emg","2","1","0","0","-1","3","2","-2","2018-03-27T16:02:17.447053"
"2018-03-27T16:02:17.448480","emg","-2","0","-1","-2","-1","-3","-1","-1","2018-03-27T16:02:17.447564"
"2018-03-27T16:02:17.449792","acc","-347","-1256","-1765","gyro","7","-11","-8","quat","-4180","14543","5524","-2991","2018-03-27T16:02:17.449117"
"2018-03-27T16:02:17.455018","emg","0","-1","-2","-1","-3","-2","-3","0","2018-03-27T16:02:17.454018"
"2018-03-27T16:02:17.455381","emg","0","-2","-1","0","1","-4","-1","-2","2018-03-27T16:02:17.454538"
"2018-03-27T16:02:17.470558","emg","-2","-2","-1","-1","0","4","2","-1","2018-03-27T16:02:17.469527"
"2018-03-27T16:02:17.471025","emg","-1","-1","0","-2","-1","-4","-3","-1","2018-03-27T16:02:17.470065"
"2018-03-27T16:02:17.472473","acc","-343","-1270","-1771","gyro","3","-11","-6","quat","-4180","14543","5524","-2991","2018-03-27T16:02:17.471714"
"2018-03-27T16:02:17.476832","emg","-2","-1","1","0","-1","-3","-2","-3","2018-03-27T16:02:17.476124"
"2018-03-27T16:02:17.477158","emg","-2","-2","-2","-1","0","0","-3","0","2018-03-27T16:02:17.476479"
"2018-03-27T16:02:17.485895","emg","1","-1","0","0","-2","-3","-8","-2","2018-03-27T16:02:17.484851"
"2018-03-27T16:02:17.486412","emg","0","-1","-1","1","1","2","3","0","2018-03-27T16:02:17.485399"
"2018-03-27T16:02:17.487745","acc","-336","-1262","-1774","gyro","-5","-8","-3","quat","-4180","14543","5524","-2991","2018-03-27T16:02:17.487033"
"2018-03-27T16:02:17.499880","emg","-1","-1","0","-1","0","1","4","2","2018-03-27T16:02:17.498950"
"2018-03-27T16:02:17.500205","emg","-1","-2","-1","-2","-1","3","0","0","2018-03-27T16:02:17.499463"
"2018-03-27T16:02:17.508530","emg","0","0","0","1","2","-1","-2","-2","2018-03-27T16:02:17.507541"
"2018-03-27T16:02:17.508985","emg","-1","0","-1","-1","-1","-2","0","-2","2018-03-27T16:02:17.508061"
"2018-03-27T16:02:17.510315","acc","-336","-1268","-1770","gyro","-2","-7","-3","quat","-4180","14543","5524","-2991","2018-03-27T16:02:17.509611"
"2018-03-27T16:02:17.514570","emg","0","-1","-1","-2","-2","0","-5","-1","2018-03-27T16:02:17.513727"
"2018-03-27T16:02:17.514945","emg","-1","0","0","-1","-1","-6","0","0","2018-03-27T16:02:17.514161"
"2018-03-27T16:02:17.530942","emg","0","-3","-3","-1","-2","3","2","-1","2018-03-27T16:02:17.529860"
"2018-03-27T16:02:17.531401","emg","-1","-2","-1","-1","0","1","-3","-1","2018-03-27T16:02:17.530449"
"2018-03-27T16:02:17.532739","acc","-342","-1264","-1778","gyro","2","-3","-5","quat","-4179","14543","5524","-2991","2018-03-27T16:02:17.532017"
"2018-03-27T16:02:17.537673","emg","1","0","-1","1","-2","2","2","3","2018-03-27T16:02:17.536573"
"2018-03-27T16:02:17.538114","emg","0","0","0","0","0","1","11","1","2018-03-27T16:02:17.537200"
"2018-03-27T16:02:17.546067","acc","-337","-1254","-1766","gyro","0","-1","-3","quat","-4179","14543","5524","-2991","2018-03-27T16:02:17.544981"
"2018-03-27T16:02:17.547329","emg","0","-2","-2","-2","-2","-6","-1","-1","2018-03-27T16:02:17.546581"
"2018-03-27T16:02:17.547703","emg","-3","-2","0","2","-1","-1","-7","-3","2018-03-27T16:02:17.546950"
"2018-03-27T16:02:17.560253","emg","0","-1","-2","-1","1","-1","2","-1","2018-03-27T16:02:17.559196"
"2018-03-27T16:02:17.560619","emg","-1","-1","-2","0","-1","-4","-6","1","2018-03-27T16:02:17.559752"
"2018-03-27T16:02:17.568666","acc","-342","-1249","-1757","gyro","-9","-1","-3","quat","-4179","14543","5524","-2991","2018-03-27T16:02:17.567457"
"2018-03-27T16:02:17.570011","emg","1","0","-2","1","1","1","3","0","2018-03-27T16:02:17.569192"
"2018-03-27T16:02:17.570382","emg","-1","-1","-1","-1","-2","-5","0","-1","2018-03-27T16:02:17.569606"
"2018-03-27T16:02:17.574563","emg","-1","-2","-1","-2","0","-3","-2","-1","2018-03-27T16:02:17.573698"
"2018-03-27T16:02:17.574943","emg","-2","-1","0","2","1","0","1","-2","2018-03-27T16:02:17.574144"
"2018-03-27T16:02:17.590883","acc","-356","-1256","-1772","gyro","-10","-1","0","quat","-4178","14543","5524","-2991","2018-03-27T16:02:17.589785"
"2018-03-27T16:02:17.592128","emg","-1","0","0","-2","-2","-5","-1","-1","2018-03-27T16:02:17.591394"
"2018-03-27T16:02:17.592489","emg","2","0","0","0","3","0","-2","0","2018-03-27T16:02:17.591759"
"2018-03-27T16:02:17.597473","emg","0","-1","-1","-1","-1","-1","-1","-1","2018-03-27T16:02:17.596423"
"2018-03-27T16:02:17.597851","emg","-1","-1","-1","-2","-2","-3","-4","-4","2018-03-27T16:02:17.596981"
"2018-03-27T16:02:17.606043","acc","-348","-1275","-1775","gyro","-7","-1","0","quat","-4178","14543","5524","-2991","2018-03-27T16:02:17.604936"
"2018-03-27T16:02:17.607307","emg","-2","-3","-1","-1","-1","3","0","-1","2018-03-27T16:02:17.606562"
"2018-03-27T16:02:17.607666","emg","0","-2","-2","-2","0","1","2","2","2018-03-27T16:02:17.606925"
"2018-03-27T16:02:17.620176","emg","-4","-2","0","0","-1","-3","-4","-3","2018-03-27T16:02:17.619160"
"2018-03-27T16:02:17.620545","emg","-1","-1","-1","-1","-1","-3","2","-2","2018-03-27T16:02:17.619701"
"2018-03-27T16:02:17.628509","acc","-345","-1269","-1770","gyro","1","1","-2","quat","-4178","14543","5524","-2992","2018-03-27T16:02:17.627456"
"2018-03-27T16:02:17.629820","emg","-1","-1","-2","-1","-3","-2","-3","-1","2018-03-27T16:02:17.629065"
"2018-03-27T16:02:17.630212","emg","0","0","-3","-1","-2","-1","-1","-2","2018-03-27T16:02:17.629441"
"2018-03-27T16:02:17.635236","emg","0","-2","-1","-1","-2","-3","-6","-3","2018-03-27T16:02:17.634237"
"2018-03-27T16:02:17.635609","emg","0","-1","-1","-2","-1","5","6","3","2018-03-27T16:02:17.634770"
"2018-03-27T16:02:17.651275","acc","-335","-1254","-1768","gyro","7","0","-5","quat","-4178","14543","5524","-2992","2018-03-27T16:02:17.650218"
"2018-03-27T16:02:17.652534","emg","0","-1","-1","-1","0","-2","-5","-2","2018-03-27T16:02:17.651799"
"2018-03-27T16:02:17.652892","emg","1","-1","-1","0","-1","-1","-2","-2","2018-03-27T16:02:17.652161"
"2018-03-27T16:02:17.657100","emg","-1","-3","1","-1","-1","-2","-2","-2","2018-03-27T16:02:17.656270"
"2018-03-27T16:02:17.657482","emg","0","-2","-1","-2","-1","-4","-5","0","2018-03-27T16:02:17.656692"
"2018-03-27T16:02:17.666142","acc","-333","-1255","-1758","gyro","7","0","-2","quat","-4178","14543","5524","-2992","2018-03-27T16:02:17.665063"
"2018-03-27T16:02:17.667401","emg","-2","-2","-1","-2","0","-2","-1","-1","2018-03-27T16:02:17.666656"
"2018-03-27T16:02:17.667762","emg","-2","0","1","-1","-1","4","7","1","2018-03-27T16:02:17.667028"
"2018-03-27T16:02:17.679799","emg","-2","-1","-2","1","0","-9","-7","-3","2018-03-27T16:02:17.678810"
"2018-03-27T16:02:17.680193","emg","1","-1","0","-1","-3","7","-3","-1","2018-03-27T16:02:17.679330"
"2018-03-27T16:02:17.688133","acc","-347","-1255","-1757","gyro","2","-1","-1","quat","-4178","14543","5524","-2992","2018-03-27T16:02:17.687071"
"2018-03-27T16:02:17.689379","emg","-2","-1","-1","1","-1","-5","1","0","2018-03-27T16:02:17.688642"
"2018-03-27T16:02:17.689746","emg","-1","-2","-1","0","-2","-2","-2","-3","2018-03-27T16:02:17.689007"
"2018-03-27T16:02:17.695292","emg","1","-1","-3","-2","0","0","-2","0","2018-03-27T16:02:17.694258"
"2018-03-27T16:02:17.695660","emg","0","-2","0","-2","-1","-4","-4","-2","2018-03-27T16:02:17.694787"
"2018-03-27T16:02:17.711286","acc","-346","-1254","-1765","gyro","-2","0","4","quat","-4177","14544","5523","-2992","2018-03-27T16:02:17.710168"
"2018-03-27T16:02:17.712540","emg","0","-1","-1","-2","-3","-1","-4","-1","2018-03-27T16:02:17.711809"
