"2018-07-03T18:18:42.434174","emg","-1","1","3","9","-5","2","1","2","2018-07-03T18:18:42.433126"
"2018-07-03T18:18:42.434653","emg","1","0","-3","2","8","1","-1","1","2018-07-03T18:18:42.433595"
"2018-07-03T18:18:42.435767","acc","1457","-1292","933","gyro","-352","-242","126","quat","13254","-7273","-6099","-1636","2018-07-03T18:18:42.435100"
"2018-07-03T18:18:42.440377","emg","1","-2","-2","1","13","1","0","-1","2018-07-03T18:18:42.439380"
"2018-07-03T18:18:42.440761","emg","-1","0","0","-6","-2","-8","-4","-1","2018-07-03T18:18:42.439815"
"2018-07-03T18:18:42.456837","emg","-3","-4","-4","-5","-11","-4","-2","-5","2018-07-03T18:18:42.455622"
"2018-07-03T18:18:42.457402","emg","-4","-2","-2","-2","-10","4","5","-2","2018-07-03T18:18:42.456149"
"2018-07-03T18:18:42.458678","acc","1634","-1237","803","gyro","-410","-208","201","quat","13216","-7332","-6113","-1630","2018-07-03T18:18:42.457911"
"2018-07-03T18:18:42.463213","emg","0","-1","1","-1","-1","0","2","1","2018-07-03T18:18:42.462050"
"2018-07-03T18:18:42.463591","emg","2","-1","-2","0","6","1","3","-5","2018-07-03T18:18:42.462560"
"2018-07-03T18:18:42.471412","emg","-3","-2","2","0","-2","-4","-1","12","2018-07-03T18:18:42.470258"
"2018-07-03T18:18:42.471965","emg","1","-2","0","-4","1","2","-4","10","2018-07-03T18:18:42.470772"
"2018-07-03T18:18:42.473287","acc","1739","-1356","812","gyro","-309","39","352","quat","13202","-7383","-6083","-1616","2018-07-03T18:18:42.472474"
"2018-07-03T18:18:42.485402","emg","-3","-2","-2","-3","1","8","-2","-8","2018-07-03T18:18:42.484375"
"2018-07-03T18:18:42.485765","emg","2","4","1","3","4","1","-25","-1","2018-07-03T18:18:42.484913"
"2018-07-03T18:18:42.494208","emg","-1","2","3","-3","-9","-11","27","-1","2018-07-03T18:18:42.493115"
"2018-07-03T18:18:42.494698","emg","-4","-9","-5","-3","0","-12","-1","-5","2018-07-03T18:18:42.493646"
"2018-07-03T18:18:42.495802","acc","1897","-1350","824","gyro","-273","213","583","quat","13205","-7436","-6020","-1588","2018-07-03T18:18:42.495151"
"2018-07-03T18:18:42.500925","emg","2","0","-3","0","-10","-5","7","17","2018-07-03T18:18:42.499829"
"2018-07-03T18:18:42.501262","emg","-2","-4","1","-6","-7","-13","-20","-10","2018-07-03T18:18:42.500323"
"2018-07-03T18:18:42.516819","emg","0","2","1","9","12","33","6","-14","2018-07-03T18:18:42.515609"
"2018-07-03T18:18:42.517383","emg","1","3","2","1","13","0","-18","9","2018-07-03T18:18:42.516134"
"2018-07-03T18:18:42.518651","acc","1872","-1394","808","gyro","-270","308","1069","quat","13220","-7520","-5905","-1497","2018-07-03T18:18:42.517888"
